Date,Open,High,Low,Close,Volume
15/06/10,21100,21203,21100,21150,47384
15/06/11,21140,21283,21100,21100,56755
15/06/12,21159,21249,21100,21199,20694
15/06/15,21198,21199,20618,20900,42024
15/06/17,21000,21248,20800,21248,66654
15/06/18,21200,21250,20855,21220,46210
15/06/19,21200,21300,21169,21200,63533
15/06/22,21200,21778,20990,21778,79658
15/06/23,21760,21899,21755,21760,51371
15/06/24,21749,21800,21255,21280,25648
15/06/25,21280,21692,21216,21374,50259
15/06/26,21243,21900,21183,21862,69114
15/06/29,21623,21649,21351,21460,15004
15/06/30,21680,21681,21251,21550,35218
15/07/01,21537,21779,21407,21700,89045
15/07/02,21700,22365,21551,22015,154416
15/07/03,22011,22447,22000,22336,48316
15/07/06,22300,22473,21690,21900,99256
15/07/07,21899,22349,21747,21800,144076
15/07/08,21700,21773,21517,21700,90470
15/07/09,21850,22399,21850,22109,32366
15/07/10,22337,22940,22337,22800,69527
15/07/13,22900,22900,22376,22500,324845
15/07/14,22536,22616,22401,22490,6978
15/07/15,22645,22645,22051,22257,13136
15/07/16,21991,22300,21704,21850,159041
15/07/17,21732,22740,21732,22076,19793
15/07/20,22076,22749,22076,22540,15516
15/07/21,22048,22581,22048,22341,17603
15/07/22,22050,22750,21800,21893,478754
15/07/23,22200,22654,21912,22380,38998
15/07/24,22608,22608,21600,21600,78518
15/07/27,21980,22197,21611,21850,57322
15/07/28,22224,22296,21549,21550,63945
15/07/29,21551,21699,21310,21498,166815
15/07/30,21300,21700,21050,21050,42776
15/07/31,21050,21548,21050,21400,42125
15/08/03,21400,21742,21400,21480,99313
15/08/04,21600,21800,21541,21580,52231
15/08/05,21581,21800,21579,21580,63758
15/08/06,21821,22249,21691,21750,61035
15/08/07,21700,21700,21451,21609,61806
15/08/11,21621,22086,21580,21580,33967
15/08/12,21580,21670,21350,21350,68827
15/08/13,21350,21564,21300,21300,64576
15/08/14,21238,22205,21238,21400,25655
15/08/17,21305,22349,21305,21536,28946
15/08/18,22100,22100,21500,21786,30380
15/08/19,21711,21711,21300,21425,96300
15/08/20,20800,21599,20600,21375,98003
15/08/21,20530,21800,20526,21023,118264
15/08/24,20739,20850,19100,19954,92961
15/08/25,20602,21000,20514,20900,45560
